Row Labels,Sum of UNIT_PRICE_GBP
E004015068198A9E,13.98
E004015068198AA9,29.21
E004015068198C40,39.36
E004015068198C42,172.03
E004015068198FE9,169.67
E004015068198FEE,76.75
E004015068198FF2,103.1
E004015068198FF4,403.26
E004015068199116,99.02
E00401506819911A,408.23
E00401506819911D,66.35
E00401506819911F,164.6
E004015068199125,129.05
E004015068199245,104.67
E00401506819936B,104.2
E004015068199499,18.58
E00401506819949F,17.7
E0040150681994A2,35.4
E0040150681994A4,156.61
E0040150681995C9,81.08
E0040150681995CC,91.13
E0040150681996F0,39.83
E0040150681996F2,64.69
E0040150681996F8,24.34
E0040150681996FB,13.53
E0040150681996FD,83.87
E0040150681996FF,15.57
E00401506819981C,17.61
E00401506819981E,64.32
E004015068199820,35.4
E004015068199827,43.8
E004015068199829,93.87
E004015068199937,178.3
E004015068199940,8.5
E004015068199A4F,30
E004015068199A50,30.16
E004015068199A52,78.69
E004015068199A54,12.29
E004015068199A57,39.03
E004015068199B6D,11.6
E004015068199B6F,24.69
E004015068199B72,25.3
E004015068199B75,163.66
E004015068199C84,151.12
E004015068199C88,45.47
E004015068199C8F,73.82
E004015068199E13,63.36
E004015068199F39,200.5
E00401506819A05D,145.92
E00401506819A068,166.09
E00401506819A185,161.83
E00401506819A2B4,181
E00401506819A2BF,136.43
E00401506819A3E3,71.59
E00401506819A3EE,93.21
E00401506819A6F3,27.25
E00401506819A822,29.91
E00401506819A82D,25.13
E00401506819A9AC,55.84
E00401506819A9B3,44.24
E00401506819A9B6,22.57
E00401506819AAD9,86.25
E00401506819ABB0,211.49
E00401506819ACEE,57.33
E00401506819AE81,50.46
E00401506819AFB0,45.74
E00401506819AFB8,8.5
E00401506819AFBB,151.86
E00401506819B1F8,58.22
E00401506819B1F9,40.33
E00401506819B490,87.23
E00401506819B6C5,163.48
E00401506819B82C,4.25
E00401506819B93E,50.08
E00401506819B957,56.83
E00401506819BA5E,43.7
E00401506819BB97,66.69
E00401506819BCD3,178.12
E00401506819BCD4,9.73
E00401506819BCE8,22.21
E00401506819BD00,30.72
E00401506819BE0E,256.65
E00401506819BE0F,39.02
E00401506819BE17,83.25
E00401506819BE3B,17
E00401506819BF3A,145.98
E00401506819C071,11.15
E00401506819C07C,117.84
E00401506819C1A4,63.88
E00401506819C1A9,6.9
E00401506819C1AA,17
E00401506819C1B1,29.46
E00401506819C1D1,163.69
E00401506819C2E6,19.91
E00401506819C670,192.21
E00401506819C676,57.51
E00401506819C677,38.31
E00401506819C79B,49.48
E00401506819C79C,17
E00401506819CA13,10.44
E00401506819CB4A,153.28
E00401506819CB4B,30.09
E00401506819CB56,38.75
E00401506819CC86,149.8
E00401506819CC8B,24.6
E00401506819CDB4,131.99
E00401506819CDD1,74.51
E00401506819CDD2,25.04
E00401506819CF05,144.07
E00401506819CF06,13.27
E00401506819D020,82.35
